file_id_namespace	file_id	subject_id_namespace	subject_id
https://gtexportal.org	GTEX-13O21-1526-SM-5K7W4	https://gtexportal.org	GTEX-13O21
https://gtexportal.org	GTEX-11EQ8-0126-SM-5EQ54	https://gtexportal.org	GTEX-11EQ8
https://gtexportal.org	GTEX-Q2AG-0926-SM-48U1Q	https://gtexportal.org	GTEX-Q2AG
https://gtexportal.org	GTEX-146FR-0326-SM-5SI8U	https://gtexportal.org	GTEX-146FR
https://gtexportal.org	GTEX-Y9LG-0008-SM-4VBRJ	https://gtexportal.org	GTEX-Y9LG
https://gtexportal.org	GTEX-18D9U-1726-SM-7LTA5	https://gtexportal.org	GTEX-18D9U
https://gtexportal.org	GTEX-1B996-0003-SM-7J38R	https://gtexportal.org	GTEX-1B996
https://gtexportal.org	GTEX-X3Y1-1926-SM-4PQZO	https://gtexportal.org	GTEX-X3Y1
https://gtexportal.org	GTEX-13NZB-2126-SM-5MR4Y	https://gtexportal.org	GTEX-13NZB
https://gtexportal.org	GTEX-139T6-0826-SM-5J1O2	https://gtexportal.org	GTEX-139T6
https://gtexportal.org	GTEX-11P81-1526-SM-5P9GS	https://gtexportal.org	GTEX-11P81
https://gtexportal.org	GTEX-1B932-0426-SM-73KX4	https://gtexportal.org	GTEX-1B932
https://gtexportal.org	GTEX-X4LF-0326-SM-4QAS9	https://gtexportal.org	GTEX-X4LF
https://gtexportal.org	GTEX-11EM3-0326-SM-5A5KJ	https://gtexportal.org	GTEX-11EM3
https://gtexportal.org	GTEX-XBED-1326-SM-4AT4F	https://gtexportal.org	GTEX-XBED
https://gtexportal.org	GTEX-17KNJ-2526-SM-7DUFR	https://gtexportal.org	GTEX-17KNJ
https://gtexportal.org	GTEX-ZEX8-2026-SM-4WKF3	https://gtexportal.org	GTEX-ZEX8
https://gtexportal.org	GTEX-14BMU-1626-SM-5TDE7	https://gtexportal.org	GTEX-14BMU
https://gtexportal.org	GTEX-11NUK-1726-SM-5A5L2	https://gtexportal.org	GTEX-11NUK
https://gtexportal.org	GTEX-OXRK-0426-SM-3NB2E	https://gtexportal.org	GTEX-OXRK
